('OE.', 'OF.', 'L.', 'OF.')
('L.', 'OE.', 'L.', 'F.')
('OF.', 'AS.', 'AS.', 'OE.')
('OF.', 'OE.', 'AS.', 'F.')
('L.', 'AS.', 'OE.', 'OF.')
('AS.', 'L.', 'F.', 'OE.')
('L.', 'OE.', 'OE.', 'OF.')
('L.', 'OE.', 'F.', 'F.')
('L.', 'F.', 'OE.', 'OE.')
('L.', 'AS.', 'OF.', 'AS.')
('L.', 'L.', 'OE.', 'F.')
('F.', 'AS.', 'L.', 'L.')
('AS.', 'OF.', 'OE.', 'AS.')
('OE.', 'F.', 'L.', 'L.')
('L.', 'AS.', 'F.', 'F.')
('OF.', 'OE.', 'L.', 'AS.')
('OF.', 'OE.', 'AS.', 'L.')
('F.', 'L.', 'AS.', 'L.')
('AS.', 'L.', 'L.', 'F.')
('OE.', 'OF.', 'OE.', 'AS.')
('AS.', 'L.', 'L.', 'OF.')
('AS.', 'OE.', 'F.', 'L.')
('L.', 'OF.', 'OE.', 'AS.')
('OE.', 'AS.', 'L.', 'F.')
('L.', 'OE.', 'F.', 'OE.')
('OF.', 'OE.', 'OE.', 'OF.')
('AS.', 'OF.', 'OF.', 'OE.')
('F.', 'AS.', 'AS.', 'F.')
('OE.', 'OE.', 'L.', 'OF.')
('L.', 'L.', 'F.', 'OE.')
('AS.', 'AS.', 'L.', 'F.')
('AS.', 'F.', 'OF.', 'AS.')
('AS.', 'AS.', 'OF.', 'L.')
('AS.', 'L.', 'F.', 'AS.')
('AS.', 'OF.', 'L.', 'AS.')
('L.', 'F.', 'AS.', 'OF.')
('L.', 'AS.', 'L.', 'F.')
('OE.', 'L.', 'OF.', 'AS.')
('AS.', 'F.', 'OE.', 'OF.')
('AS.', 'AS.', 'F.', 'OF.')
('F.', 'OE.', 'AS.', 'OF.')
('F.', 'OE.', 'F.', 'AS.')
('OF.', 'OE.', 'OF.', 'OE.')
('OE.', 'AS.', 'L.', 'OF.')
('AS.', 'OF.', 'OE.', 'OF.')
('L.', 'F.', 'L.', 'L.')
('OE.', 'OF.', 'L.', 'OE.')
('L.', 'L.', 'AS.', 'OF.')
('OE.', 'L.', 'OE.', 'F.')
('OE.', 'F.', 'AS.', 'F.')
('AS.', 'OF.', 'L.', 'OF.')
('OF.', 'L.', 'OE.', 'OE.')
('F.', 'AS.', 'OF.', 'AS.')
('OF.', 'OE.', 'F.', 'AS.')
('OE.', 'F.', 'L.', 'OE.')
('L.', 'F.', 'AS.', 'OE.')
('OE.', 'OF.', 'OE.', 'F.')
('OE.', 'AS.', 'OF.', 'L.')
('L.', 'OF.', 'AS.', 'AS.')
('F.', 'AS.', 'L.', 'F.')
('OE.', 'OF.', 'AS.', 'L.')
('AS.', 'OF.', 'AS.', 'F.')
('AS.', 'AS.', 'AS.', 'OF.')
('OF.', 'AS.', 'L.', 'OE.')
('AS.', 'L.', 'AS.', 'OF.')
('OE.', 'OF.', 'L.', 'F.')
('AS.', 'OF.', 'OE.', 'F.')
('F.', 'AS.', 'AS.', 'OF.')
('OF.', 'L.', 'AS.', 'AS.')
('L.', 'AS.', 'OF.', 'OF.')
('L.', 'L.', 'F.', 'L.')
('F.', 'L.', 'AS.', 'OE.')
('OF.', 'L.', 'OF.', 'AS.')
('OF.', 'OF.', 'OE.', 'OF.')
('OE.', 'OF.', 'OE.', 'OF.')
('OF.', 'AS.', 'AS.', 'OF.')
('OE.', 'L.', 'L.', 'F.')
('OF.', 'AS.', 'OE.', 'OF.')
('OF.', 'L.', 'F.', 'AS.')
('OF.', 'OE.', 'OF.', 'L.')
('L.', 'OF.', 'L.', 'L.')
('OE.', 'L.', 'OF.', 'OE.')
('F.', 'OF.', 'AS.', 'AS.')
('AS.', 'OE.', 'L.', 'OF.')
('AS.', 'OE.', 'L.', 'F.')
('OF.', 'AS.', 'AS.', 'L.')
('AS.', 'AS.', 'OF.', 'OE.')
('F.', 'F.', 'OE.', 'F.')
('F.', 'OE.', 'OF.', 'OE.')
('OE.', 'L.', 'OF.', 'L.')
('F.', 'AS.', 'OE.', 'F.')
('AS.', 'OE.', 'F.', 'OE.')
('AS.', 'OE.', 'AS.', 'NL.')
('F.', 'OF.', 'F.', 'OE.')
('AS.', 'NL.', 'AS.', 'L.')
('L.', 'L.', 'OF.', 'L.')
('OE.', 'L.', 'OE.', 'OF.')
('AS.', 'L.', 'OE.', 'OF.')
('L.', 'OE.', 'OF.', 'OE.')
('OF.', 'F.', 'OE.', 'L.')
('F.', 'OE.', 'OF.', 'AS.')
('OE.', 'OF.', 'L.', 'AS.')
('OF.', 'OF.', 'OE.', 'AS.')
('OE.', 'AS.', 'NL.', 'AS.')
('OF.', 'L.', 'L.', 'L.')
('AS.', 'F.', 'F.', 'AS.')
('AS.', 'F.', 'OF.', 'F.')
('OF.', 'AS.', 'OF.', 'AS.')
('NL.', 'AS.', 'L.', 'OE.')
('L.', 'F.', 'OE.', 'OF.')
('OE.', 'AS.', 'OF.', 'OF.')
('L.', 'L.', 'L.', 'OF.')
('L.', 'OE.', 'OF.', 'L.')
('F.', 'AS.', 'OF.', 'OE.')
('OF.', 'L.', 'AS.', 'F.')
('OF.', 'L.', 'OE.', 'L.')
('OF.', 'OF.', 'AS.', 'AS.')
('AS.', 'OF.', 'L.', 'OE.')
('AS.', 'L.', 'OF.', 'OF.')
('OF.', 'AS.', 'L.', 'L.')
('L.', 'OF.', 'OE.', 'F.')
('L.', 'OE.', 'OF.', 'AS.')
('OE.', 'OE.', 'F.', 'F.')
('AS.', 'F.', 'AS.', 'OF.')
('OF.', 'AS.', 'F.', 'OE.')
('OF.', 'OE.', 'F.', 'OE.')
('L.', 'OF.', 'OF.', 'AS.')
('L.', 'L.', 'OE.', 'OF.')
('OF.', 'L.', 'OE.', 'F.')
('OE.', 'OE.', 'OF.', 'L.')
('AS.', 'F.', 'L.', 'F.')
('AS.', 'AS.', 'NL.', 'F.')
('OF.', 'L.', 'AS.', 'OE.')
('AS.', 'NL.', 'L.', 'AS.')
('OE.', 'AS.', 'NL.', 'OE.')
('OE.', 'AS.', 'NL.', 'F.')
('NL.', 'L.', 'AS.', 'AS.')
('L.', 'OF.', 'OF.', 'OE.')
('F.', 'OE.', 'AS.', 'F.')
('NL.', 'OE.', 'AS.', 'OE.')
('F.', 'OF.', 'L.', 'AS.')
('AS.', 'L.', 'AS.', 'NL.')
('OF.', 'AS.', 'OE.', 'F.')
('OE.', 'OE.', 'F.', 'OF.')
('AS.', 'L.', 'F.', 'L.')
('OF.', 'OE.', 'OE.', 'F.')
('L.', 'F.', 'L.', 'OE.')
('OE.', 'F.', 'OF.', 'L.')
