, (L
ACOUMETER, Gr
ACOUMETRY, Gr
ACOUSTIC, F
ACOUSTICS, Names of sciences in -ics, as,
ACQUAINT, OF
Ac*quaint", v. t. [imp. & p. p. Acquainted; p. pr. & vb. n., OE
ACQUAINTABLE, Cf
ACQUAINTANCE, OE
ACQUAINTANT, Cf
ACQUEST, OF
Ac`qui*esce", v. i. [imp. & p. p. Acquiesced; p. pr. & vb. n., L
ACQUIESCENCE, Cf
ACQUIESCENT, L
ACQUIET, LL
Ac*quire", v. t. [imp. & p. p. Acquired; p. pr. & vb. n. Acquiring.], L
ACQUISITE, L
ACQUISITION, L
ACQUIST, Cf
Ac*quit", v. t. [imp. & p. p. Acquitted; p. pr. & vb. n. Acquitting.], OE
ACQUITMENT, Cf
ACQUITTANCE, OF
ACRANIA, NL
ACRASE; ACRAZE, Pref
ACRASIA; ACRASY, Gr
ACRASPEDA, NL
ACRE, OE
ACRID, L
ACRIMONIOUS, Cf
ACRIMONY, L
ACRISIA; ACRISY, LL
ACRITA, NL
ACRITICAL, Gr
ACRITOCHROMACY, Gr
ACRITUDE, L
ACRITY, L
ACROAMATIC; ACROAMATICAL, Gr
ACROATIC, Gr
ACROBAT, F
ACROBATIC, Cf
ACROCARPOUS, Gr
ACROCEPHALIC, Gr
ACROCERAUNIAN, L
ACRODACTYLUM, NL
ACRODONT, Gr
ACROGEN, Gr
ACROLEIN, L
ACROLITH, L
ACROMEGALY, NL
ACROMIAL, Cf
ACROMION, Gr
ACROMONOGRAMMATIC, Gr
ACRONYC; ACRONYCHAL, Gr
ACRONYCTOUS, Gr
ACROPETAL, Gr
ACROPHONY; ACHROPHONY, Gr
ACROPODIUM, Gr
ACROPOLIS, Gr
ACROSPIRE, Gr
ACROSPORE, Gr
ACROSS, Pref
ACROSTIC, Gr
ACROTARSIUM, NL
ACROTELEUTIC, Gr
ACROTER, F
ACROTERIUM, L
ACROTIC, Gr
ACROTISM, Gr
ACROTOMOUS, Gr
ACT, L
ACT, L
ACTINAL, Gr
ACTINARIA, NL
ACTINIA, Latinized fr
ACTINIFORM, Gr
ACTINISM, Gr
ACTINIUM, Gr
ACTINOGRAPH, Gr
ACTINOID, Gr
ACTINOLITE, Gr
ACTINOLOGY, Gr
ACTINOMERE, Gr
ACTINOMETER, Gr
ACTINOPHOROUS, Gr
ACTINOSOME, Gr
ACTINOST, Gr
ACTINOSTOME, Gr
ACTINOTROCHA, NL
ACTINOZOA, Gr
ACTINULA, NL
ACTION, OF
ACTIONABLE, Cf
ACTIONARY; ACTIONIST, Cf
ACTIVE, F
ACTIVITY, Cf
ACTON, OF
ACTOR, L
ACTRESS, Cf
ACTUAL, OE
ACTUARY, L
Ac"tu*ate, v. t. [imp. & p. p. Actuated; p. pr. & vb. n. Actuating.], LL
ACTUATE, LL
ACTUATION, Cf
ACTUOSE, L
ACTURIENCE, A desid
ACUATE, L
ACUITION, L
ACUITY, LL
ACULEATE, L
ACULEOLATE, L
ACULEUS, L
ACUMEN, L
ACUMINATE, L
ACUPRESSURE, L
ACUPUNCTURE, L
ACUTE, L
ACUTIFOLIATE, L
