, (L
UNSTICK, 1st pref
UNSTILL, AS
UNSTING, 1st pref
UNSTITCH, 1st pref
UNSTOCK, 1st pref
, Pref
, 1st pref
UNSTOP, 1st pref
UNSTRAIN, 1st pref
UNSTRAINED, Pref
UNSTRING, 1st pref
UNSUBSTANTIALIZE, 1st pref
UNSUBSTANTIATION, 1st pref
UNSUIT, 1st pref
UNSWADDLE, 1st pref
UNSWATHE, 1st pref
UNSWEAR, 1st pref
UNSWEAT, 1st pref
UNSWELL, 1st pref
UNTACK, 1st pref
UNTACKLE, 1st pref
UNTANGLE, 1st pref
UNTAPPICE, 1st pref
UNTASTE, 1st pref
UNTEACH, 1st pref
UNTEAM, 1st pref
UNTEMPER, 1st pref
UNTENANT, 1st pref
UNTENT, 1st pref
UNTENTED, Pref
UNTENTED, Pref
UNTHANK, AS
UNTHINK, 1st pref
UNTHINKER, Pref
UNTHREAD, 1st pref
UNTHRONE, 1st pref
UNTIE, AS
UNTIGHTEN, 1st pref
UNTIL, OE
UNTILE, 1st pref
UNTO, OE
UNTOMB, 1st pref
UNTONGUE, 1st pref
UNTOOTH, 1st pref
UNTOWARD, Unto + -ward
UNTOWARD, Pref
UNTRAVELED, Written also untravelled
UNTREAD, 1st pref
UNTREASURE, 1st pref
, Properly p
, Pref
UNTRUNKED, 1st pref
UNTRUSS, 1st pref
UNTUCK, 1st pref
UNTUNE, 1st pref
UNTURN, 1st pref
UNTURNED, Pref
UNTWAIN, 1st pref
UNTWINE, 1st pref
UNTWIRL, 1st pref
UNTWIST, 1st pref
UNVEIL, 1st pref
UNVESSEL, 1st pref
UNVICAR, 1st pref
UNVISARD, 1st pref
UNVOTE, 1st pref
UNVULGARIZE, 1st pref
UNWARE, AS
UNWARM, 1st pref
UNWARP, 1st pref
UNWARPED, Pref
UNWARY, Cf
UNWEARY, 1st pref
UNWEAVE, 1st pref
UNWEETING, See Un- not, and Weet, Wit
UNWHOLE, AS
UNWILD, 1st pref
UNWILL, 1st pref
UNWILLED, 1st pref
UNWIND, AS
UNWISE, AS
UNWISELY, AS
UNWISH, 1st pref
UNWIT, 1st pref
UNWIT, Pref
UNWITCH, 1st pref
UNWOMAN, 1st pref
UNWONDER, 1st pref
UNWORK, 1st pref
UNWORSHIP, 1st pref
UNWORSHIP, Pref
UNWORTH, AS
UNWRAP, 1st pref
UNWREATHE, 1st pref
UNWRIE, AS
UNWRINKLE, 1st pref
UNWRITE, 1st pref
of mouth; oral or traditional doctrines., Cf
UNWROKEN, See Un- not, and Wreak
UNYOKE, 1st pref
UNYOKED, In sense 1 pref
UP, AS
UPAS, Malay p; p a tree + poison
Up*braid", v. i. [imp. & p. p. Upbraided; p. pr. & vb. n., OE
UPHOLDER, Up + holder
UPHOLSTER, See Upholsterer
UPHOLSTERER, A substitution for older upholder, in OE
UPMOST, Cf
UPOKORORO, From the native Maori name
UPON, AS
UPPERMOST, From Up, Upper; formed like aftermost
UPPERTENDOM, Upper ten + -dom
UPPISH, From Up
UPRIGHT, AS
UPRIGHTEOUSLY, See Righteous
UPROAR, D
UPSHOT, Up + shot, equivalent to scot share, reckoning
to be even with. [Prov. Eng. & Scot.] Sir W. Scott. T. Hughes., Perhaps a corruption of OE
UPSODOWN, Up + so as + down
UPSYTURVY, Cf
UPUPA, L
UPWARD; UPWARDS, AS
UPWARD, AS
URACHUS, NL
URAEMIA, NL
URAEUM, NL
URALI, See Wourali
URALITE, So called because first observed in the Ural
URANIA, L
URANISCOPLASTY, Gr
URANISCORAPHY; URANISCORRHAPHY, Gr
URANITE, Cf
URANIUM, NL
URAN-OCHER; URAN-OCHRE, Cf
URANOGRAPHY, Gr
URANOLITE, Gr
URANOLOGY, Gr
URANOMETRIA, NL
URANOMETRY, Gr
URANOPLASTY, See Uraniscoplasty
URANOSCOPY, Gr
URANUS, L
URANYL, Uranium + -yl
URAO, Sp
URATE, Cf
URBAN, L
URBANE, See Urban
URBANITY, L
URBICOLAE, NL
URCEOLATE; URCELATE, L
URCEOLE, See Urceolate
URCEOLUS, L
URCHIN, OE
URDU, Hind
URE, OE
UREA, NL
UREAMETER, Urea + -meter
URECHITOXIN, Urechitin + toxic + -in
UREDO, L
URETER, NL
URETERITIS, NL
URETHRA, L
URETHRITIS, NL
URETHROPLASTY, Urethra + -plasty
URETHROSCOPE, Urethra + -scope
URETHROTOME, Urethra + Gr
URETHROTOMY, Urethra + Gr
URETIC, L
URGE, L
URGENCY, Cf
URGENT, L
URIC, Gr
URIM, Heb
URINAL, L
URINARIUM, LL
URINARY, L
URINATE, LL
URINATOR, L
URINE, F
URINIFEROUS, Urine + -ferous
URINIPAROUS, Urine + L
URINOMETER, Urine + -meter
URINOSE; URINOUS, Cf
URITE, Gr
URN, OE
UROBILIN, 1st uro- + bile + -in
UROCELE, 1st uro + Gr
UROCERATA, NL
UROCHORD, 2d uro- + chord
UROCHORDA, NL
UROCHROME, 1st uro- + Gr
UROCYST, 1st uro- + cyst
URODELA, NL
UROERYTHRIN, See 1st Uro-, and Erythrin
UROGASTRIC, 2d uro- + gastric
UROGENITAL, 1st uro- + genital
UROGLAUCIN, 1st uro- + L
UROHAEMATIN, 1st uro- + hæmatin
UROHYAL, 2d uro- + the Gr
UROLOGY, 1st uro- + -logy
UROMERE, 2d uro- + -mere
URONOLOGY, Gr
UROPOD, 2d uro- + -pod
UROPOETIC, 1st uro- + Gr
UROPYGIAL, See Uropygium
UROPYGIUM, NL
UROSACRAL, 2d uro- + sacral
UROSCOPY, 1st uro- + -scopy: cf
UROSOME, 2d uro- + -some body
UROSTEGE, 2d uro- + Gr
UROSTEON, NL
UROSTERNITE, 2d uro- + sternum
UROSTYLE, 2d uro- + Gr
UROX, See Aurochs, and cf
UROXANIC, Uric + alloxan
UROXANTHIN, 1st uro- + xanthin
URRHODIN, 1st uro- + Gr
URRY, Cf
URSA, L
Defn: Either one of the Bears. See the Phrases below. Ursa Major, L
the Pointers, or stars which point towards the North Star., L
URSIFORM, L
URSINE, L
URSON, Cf
URSULINE, Cf
URSUS, L
URTICA, L
URTICARIA, NL
URUBU, Cf
URUS, L
URVA, NL
US, OE
USAGE, F
USAGER, F
USANCE, F
USANT, OF
USE, OE
, In this sense probably a corruption of OF
USE, OE
USHER, OE
USITATIVE, L
USNEA, NL
USQUEBAUGH, Ir
USTION, L
USTORIOUS, L
USTULATE, L
USTULATION, Cf
USUAL, L
USUCAPTION, L
USUFRUCT, L
USUFRUCTUARY, L
USURARIOUS; USURARY, L
USURE, 
USURE, F
USURER, F
USURIOUS, From Usury
U*surp", v. t. [imp. & p. p. Usurped; p. pr. & vb. n. Usurping.], L
USURPANT, L
USURPATION, L
USURPATORY, L
USURY, OE
UTAS, OF
UTENSIL, F
UTERINE, L
UTEROGESTATION, Uterus + gestation
UTEROVAGINAL, Uterus + vaginal
UTERUS, L
canal, which corresponds to the uterus of the female and is called, NL
UTIA, NL
UTICA, So called from Utica, in New York
UTILE, L
UTILITARIAN, See Utility
UTILITY, OE
UTILIZATION, Cf
U"til*ize, v. t. [imp. & p. p. Utilized; p. pr. & vb. n. Utilizing.], Cf
UTI POSSIDETIS, L
UTMOST, OE
UTOPIA, NL
UTRAQUIST, L
UTRICLE, L
UTRICULAR, Cf
UTRICULARIA, NL
UTRICULOID, L
UTRICULUS, L
UTTER, OE
UTTER, 
UTTERANCE, F
UTTERMORE, Cf
UTTERMOST, From Utter, a
UVA, L
UVATE, L
UVA-URSI, NL
UVEA, NL
UVEOUS, See Uvea
UVIC, L
UVITIC, From L
UVULA, NL
UVULATOME, Uvula + Gr
UXORIAL, See Uxorious
UXORICIDE, L
UXORIOUS, L
VAAGMER, Icel
VACANCY, Cf
VACANT, F
Va"cate, v. t. [imp. & p. p. Vacated; p. pr. & vb. n. Vacating.], L
VACATION, F
VACCARY, LL
VACCINA, NL
Vac"ci*nate, v. t. [imp. & p. p. Vaccinated; p. pr. & vb. n., See Vaccine
VACCINE, L
VACCINIA, NL
VACCINIUM, L
VACHER, F
VACHERY, F
VACILLANT, L
Vac"il*late, v. t. [imp. & p. p. Vacillated; p. pr. & vb. n., L
VACILLATION, L
VACUATE, L
VACUIST, Cf
VACUITY, L
VACUNA, L
VACUOLE, L
VACUOUS, L
VACUUM, L
VADANTES, NL
VADE, For fade
VADE MECUM, L
VADIMONY, L
VADIUM, LL
, LL
VAFROUS, L
VAGABOND, F
VAGABONDAGE, Cf
VAGAL, See Vagus
VAGANCY, From L
VAGANTES, NL
VAGARY, L
VAGIENT, L
VAGINA, L
VAGINAL, Cf
VAGINANT, Cf
VAGINATE; VAGINATED, See Vagina
VAGINATI, NL
VAGINERVOSE, L
VAGINICOLA, NL
VAGINISMUS, NL
VAGINITIS, NL
VAGINOPENNOUS, L
VAGINULA, L
VAGISSATE, L
VAGOUS, L
VAGRANT, Probably fr
VAGUE, F
VAGUE, Cf
VAGUE, F
VAGUS, L
VAIL, Aphetic form of avail, n
VAIL, Aphetic form of avale
VAIN, F
VAINGLORY, Vain + glory
VAIR, F
VAIRY, F
VAISHNAVA, Skr
VAISYA, Skr
VAIVODE, Cf
VAKEEL, Ar
VALANCE, Perhaps fr
VALE, OE
VALEDICTION, L
VALENCE, From L
VALENCIA, Perhaps fr
VALENCIENNES LACE, F
VALERAMIDE, Valeric + amide
VALERIAN, LL
VALERIN, Valeric + glycerin
VALERITRINE, Valeric + iropine + -ine
VALERYL, Valeric + -yl
VALET, F
Defn: A kind of goad or stick with a point of iron. Valet de chambre, F
VALETUDINARIAN, L
VALHALLA, Icel
VALIANCE; VALIANCY, Cf
VALIANT, OE
VALID, F
VALIDATE, See Valid
VALIDATION, Cf
VALIDITY, Cf
VALINCH, Cf
VALISE, F
VALKYRIA, Icel
VALLANCY, From Valance
VALLAR, L
VALLATION, L
VALLECULA, NL
VALLET'S PILLS, From Dr
VALLEY, OE
VALLUM, L
VALONIA, It
, Perhaps named from its resemblance to an acorn
VALOR, OE
VALOROUS, Cf
VALUE, OF
VALVATA, NL
VALVATE, L
VALVE, L
VALVULA, NL
VALVULAR, Cf
VALVULE, Cf
VALYLENE, Valerian + -yl
VAMBRACE, See Vantbrass
VAMOSE, Sp
VAMP, OE
VAMPER, Cf
VAMPIRE, F
VAMPIRISM, Cf
VAMPLATE, F
VAN, Abbrev
VAN, Cornish
VAN, Abbreviated from caravan
VAN, L
, OF
VAN, Cf
VANADATE, Cf
VANADIUM, NL
VANADYL, Vanadium + -yl
VAN-COURIER, F
VANDAL, L
VANE, OE
VANESSA, Probably from Swift's poem of Cadenus and
VANFESS, F
VANG, D
VANGUARD, For vantguard, avantguard, F
VANILLA, NL
VANILLYL, Vanillic + -yl
VANILOQUENCE, L
Van"ish, v. i. [imp. & p. p. Vanished; p. pr. & vb. n. Vanishing.], OE
VANITY, OE
Van"quish, v. t. [imp. & p. p. Vanquished; p. pr. & vb. n., OE
VANSIRE, The native name: cf
VANTAGE, Aphetic form of OE
VANTBRACE; VANTBRASS, F
VAP, See Vapid
VAPID, L
VAPOR, OE
VAPOR, 
VAPORATE, L
VAPORATION, Cf
VAPORIFEROUS, L
VAPORIFIC, L
VAPORIMETER, Vapor + -meter
VAPORIZATION, Cf
Vap"o*rize, v. t. [imp. & p. p. Vaporized; p. pr. & vb. n., Cf
VAPOROUS, L
VAPULATION, L
VAQUERO, Sp
VARA, Sp
VARAN, F
VARANUS, NL
VARE, Sp
VAREC, F
VARI, Cf
VARIABILITY, Cf
VARIABLE, L
VARIANCE, L
VARIANT, L
VARIANT, Cf
VARIATE, L
VARIATION, OE
VARICELLA, NL
VARICIFORM, Varix + -form
VARICOCELE, Varix a dilated vein + Gr
VARICOSE, L
Va"ri*e*gate, v. t. [imp. & p. p. Variegated; p. pr. & vb. n., L
VARIER, From Vary
VARIETAS, L
VARIETY, L
VARIFORM, L
VARIFY, L
VARIOLA, LL
VARIOLITE, L
VARIOLITIC, From Variola
VARIOLOID, Variola + -oid: cf
VARIOLOID, Cf
VARIOLOUS, LL
VARIORUM, L
VARIOUS, L
VARISCITE, So called from Variscia in Germany
VARISSE, Cf
VARIX, L
VARK, D
VARLET, OF
VARLETRY, Cf
VARNISH, OE
Var"nish, v. t. [imp. & p. p. Varnished; p. pr. & vb. n. Varnishing.], Cf
VARTABED, Armen
VARUNA, Skr
VARVEL, F
VARY, 
VAS, L
, L
VASCULAR, L
VASCULUM, L
VASE, F
VASELINE, Said by the manufacturer to be derived from G
VASIFORM, L
VASODENTINE, L
VASODILATOR, L
VASOFORMATIVE, L
VASOMOTOR, L
VASSAL, F
VASSALAGE, OE
VAST, L
VASTATION, L
VASTIDITY, Cf
VASTITUDE, L
VASTITY, L
VASTY, From Vast
VASUM, L
VAT, A dialectic form for fat, OE
VATICAL, L
VATICAN, L
VATICIDE, L
VATICINAL, See Vaticinate
VATICINATE, L
VATICINATION, L
VATICINATOR, L
VATICINE, L
VAUDEVILLE, F
VAULT, OE
, F
VAULT, 
, See Vault, v
VAULT, Cf
VAUNCE, See Advance
VAUNT, 
VAUNT, F
VAUNT, See Avant, Advance
VAUNTMURE, F
VAUQUELINITE, So called after the French chemist
VAVASOR, OE
VAVASORY, F
VAWARD, For vanward, equivalent to vanguard
VEAL, OE
VECTION, L
VECTITATION, L
VECTOR, L
VECTURE, L
VEDA, Skr
VEDANTA, Skr
VEDETTE, F
VEDRO, Russ
VEER, F
VEGA, Ar
VEGETABLE, F
VEGETAL, F
Veg"e*tate, v. i. [imp. & p. p. Vegetated; p. pr. & vb. n., L
VEGETATION, Cf
VEGETATIVE, Cf
VEGETE, L
VEGETIVE, See Vegetate, and Vegetative
VEGETOUS, L
VEHEMENCE, L
VEHEMENT, L
VEHICLE, L
VEHICULAR, L
VEHMIC, G
VEIL, OE
VEIL, 
VEIN, OE
VEINY, From Vein: cf
VELAR, See Velum
VELARIUM, L
VELATE, L
VELELLA, NL
VELIFEROUS, L
VELIGER, NL
VELITATION, L
VELIVOLANT, L
VELL, Cf
VELL, Cf
VELLEITY, F
Vel"li*cate, v. t. [imp. & p. p. Vellicated; p. pr. & vb. n., L
VELLICATION, L
VELLON, Sp
VELLUM, OE
VELOCIMETER, L
VELOCIPEDE, L
VELOCITY, L
VELOURS, F
VELTFARE, See Fieldfare
VELUM, L
VELURE, F
VELUTINA, NL
VELUTINOUS, It
VELVET, OE
VELVETEEN, Cf
VENA, L
, L
vein.] (Anat.) Any one of the great systemic veins connected directly, L
near the orifice from which it issues., L
VENADA, Cf
VENAL, L
VENAL, L
VENALITY, L
VENANTES, NL
VENARY, LL
VENATIC; VENATICAL, L
VENATION, L
VENATION, L
VENATORIAL, L
VEND, F
VENDEMIAIRE, F
VENDER, From Vend: cf
VENDETTA, It
VENDIBLE, L
VENDITATE, See Venditation
VENDITATION, L
VENDITION, L
VENDOR, See Vender
VENDUE, OF
Ve*neer", v. t. [imp. & p. p. Veneered; p. pr. & vb. n. Veneering.], G
VENEER, Cf
VENEFICAL, L
VENEFICE, L
VENENATE, L
VENENOSE, L
VENERABLE, L
VENERACEA, NL
Ven"er*ate, v. t. [imp. & p. p. Venerated; p. pr. & vb. n., L
VENERATION, L
VENERATOR, L
VENEREAL, L
VENEREAN, Cf
VENEREOUS, L
VENERY, L
VENERY, OE
VENESECTION, NL
VENETIAN, Cf
VENEW, F
VENEY, Cf
VENGE, F
VENGEANCE, F
VENGEMENT, OF
VENIABLE, L
VENIAL, OF
VENIRE FACIAS, L
VENISON, OE
VENITE, L
VENOM, OE
VENOM, OE
VENOMOUS, OE
VENOSE, See Venous
VENOUS, L
VENT, F
VENT, Sp
VENT, Cf
VENT, OE
VENTAIL, OF
VENTER, L
VENTIDUCT, L
Ven"ti*late, v. t. [imp. & p. p. Ventilated; p. pr. & vb. n., L
VENTILATION, L
VENTILATOR, Cf
VENTOSE, L
VENTOSE, F
VENTOSITY, L
VENTOUSE, F
VENTRAD, L
VENTRAL, L
VENTRICLE, L
VENTRICOSE; VENTRICOUS, NL
VENTRICULAR, Cf
VENTRICULITE, See Ventriculus
VENTRICULOUS, L
VENTRICULUS, L
VENTRILOCUTION, See Ventriloquous
VENTRILOQUISM, See Ventriloquous
VENTRILOQUOUS, L
VENTRILOQUY, Cf
VENTRIMESON, NL
VENTRO-, L
VENTURE, Aphetic form of OE
VENTURINE, Cf
VENTUROUS, Aphetic form of OE
VENUE, F
VENULE, L
VENUS, L
VENUST, L
VERACIOUS, L
VERACITY, Cf
VERANDA, A word brought by the English from India; of
VERATRIA, NL
VERATRINA, NL
VERATRINE, Cf
VERATROL, Veratric + ol
VERATRUM, L
VERB, F
VERBAL, F
Ver"bal*ize, v. t. [imp. & p. p. Verbalized; p. pr. & vb. n., Cf
VERBARIUM, NL
VERBATIM, LL
Defn: Word for word; in the same words; verbally; as, to tell a story, 
VERBENA, L
Ver"be*nate, v. t. [imp. & p. p. Verbenated; p. pr. & vb. n., L
VERBERATE, L
VERBERATION, L
VERBIAGE, F
VERBIFY, Verb + -fy
VERBOSE, L
VERBOSITY, L
VERD, See Vert, Verdant
VERDANT, F
VERD ANTIQUE, F
VERDERER; VERDEROR, F
VERDICT, OE
VERDIGRIS, F
VERDIN, Cf
VERDINE, F
VERDITER, F
VERDITURE, Cf
VERDOY, F
VERDURE, F
VERECUND, L
VERETILLUM, L
VERGALIEN; VERGALOO, Cf
VERGE, F
VERGE, 
VERGEBOARD, Verge + board
VERGER, F
VERGETTE, Cf
VERIDICAL, L
VERIFICATION, Cf
Ver"i*fy, v. t. [imp. & p. p. Verified; p. pr. & vb. n. Verifying.], F
VERILOQUENT, L
VERILY, From Very
VERINE, Contr
VERISIMILAR, L
VERISIMILITUDE, L
VERITABLE, F
VERITAS, Cf
VERITY, F
VERJUICE, OE
VERMEIL, F
VERMEOLOGY, L
VERMES, L
VERMETUS, NL
VERMICELLI, It
VERMICIDE, L
VERMICIOUS, L
VERMICULAR, L
Ver*mic"u*late, v. t. [imp. & p. p. Vermiculated; p. pr. & vb. n., L
VERMICULATION, L
VERMICULE, L
VERMICULITE, L
VERMICULOSE; VERMICULOUS, L
VERMIFORM, L
VERMIFORMIA, NL
VERMIFUGAL, L
VERMIFUGE, Cf
VERMILINGUIA, NL
VERMILION, F
VERMIN, OE
VERMINATE, L
VERMINATION, L
VERMINOUS, L
VERMIPAROUS, L
VERMIVOROUS, L
VERMUTH, F
VERNACULAR, L
VERNACULOUS, L
, L
VERNAGE, It
VERNAL, L
VERNANT, L
VERNATE, See Vernant
VERNATION, F
VERNICOSE, See Varnish
VERNIER, So named after the inventor, Pierre Vernier
VERNILE, L
VERNILITY, L
VERNINE, Vernal + -ine
VERONESE, It
VERONICA, LL
VERRAYMENT, OF
VERRICULATE, L
VERRUCIFORM, L
VERRUCOSE, L
VERRUCULOSE, L
VERSABLE, L
VERSANT, L
VERSANT, F
VERSATILE, L
VERSATILITY, Cf
VERS DE SOCIETE, F
VERSE, OE
VERSED, Cf
VERSED, L
VERSET, F
VERSICLE, L
VERSICOLOR; VERSICOLORED, L
VERSICULAR, See Versicle
VERSIFICATION, L
VERSIFICATOR, L
Ver"si*fy, v. i. [imp. & p. p. Versified; p. pr. & vb. n., OE
VERSION, F
VERSO, L
VERSOR, NL
VERST, Russ
VERSUS, L
VERSUTE, L
VERT, F
VERTEBRA, L
VERTEBRAL, Cf
VERTEBRATA, NL
VERTEBRATE; VERTEBRATED, L
VERTEX, L
VERTICAL, Cf
VERTICIL, L
VERTICILLASTER, NL
VERTICILLATE; VERTICILLATED, See Verticil
VERTICILLUS, L
VERTICITY, Cf
VERTICLE, L
VERTIGINOUS, L
VERTIGO, L
VERTILINEAR, Vertical + linear
VERUMONTANUM, NL
VERVAIN, OE
VERVE, F
VERY, OE
VESBIUM, NL
VESE, Cf
VESICA, L
, L
VESICAL, L
VESICANT, L
Ves"i*cate, v. t. [imp. & p. p. Vesicated; p. pr. & vb. n., See Vesicant
VESICATION, Cf
VESICATORY, Cf
VESICLE, L
VESICULA, L
VESICULAR, Cf
VESICULARIA, NL
VESICULATA, NL
VESICULOSE; VESICULOUS, L
VESPA, L
VESPER, L
VESPERS, OF
VESPERTILIO, L
VESPERTILIONES, NL
VESPERTINE, L
VESPIARY, L
VESPILLO, L
VESSEL, OF
VESSICNON; VESSIGNON, F
VEST, L
VEST, 
VESTA, L
VESTAL, L
VESTAL, L
VESTALES, NL
VESTIARIAN, See Vestiary
VESTIARY, L
VESTIBULE, L
VESTIBULUM, L
VESTIGATE, L
VESTIGE, F
VESTITURE, See Vesture
VESTLET, Dim
VESTMENT, OE
VESTRY, OE
VESTURE, OF
VESUVIAN, Cf
VESUVIAN, G
VETCH, Also fitch; OE
VETCHLING, Vetch + -ling
VETERAN, L
VETERAN, L
VETERINARIAN, L
VETERINARY, L
VETO, L
VETTURA, It
VETTURINO, It
VETUST, L
VEX, F
VEXATION, L
VEXATIOUS, See Vexation
VEXILLAR; VEXILLARY, Cf
VEXILLARY, L
VEXILLATION, L
VEXILLUM, L
VIA, L
, L
Galaxy. See Galaxy, 1., L
VIA, L
VIABLE, F
VIADUCT, L
VIAGE, See Voyage
VIAL, OE
VIAMETER, L
VIAND, F
VIARY, L
VIATECTURE, L
VIATIC, L
VIATICUM, L
VIBICES, L
VIBRACULUM, NL
VIBRANT, L
Vi"brate, v. t. [imp. & p. p. Vibrate; p. pr. & vb. n. Vibrating.], L
VIBRATILE, Cf
VIBRATILITY, Cf
VIBRATION, L
VIBRATIUNCLE, Dim
VIBRATORY, Cf
VIBRIO, NL
VIBRISSA, L
VIBURNUM, L
VICAR, OE
no episcopal see, or where the succession has been interrupted., Cf
VICARIAL, Cf
VICARIATE, LL
VICARIOUS, L
VICARY, L
VICE, F
VICE, See Vise
VICE, L
VICE, Cf
second in rank or authority; as, vice president; vice agent; vice, Cf
Roman Chancery., cf
-- Vice king, one who acts in the place of a king; a viceroy., cf
-- Vice presidency, the office of vice president., cf
VICEGERENT, Vice, a + gerent: cf
VICEGERENT, Vice, a
VICENARY, L
VICENNIAL, L
VICEROY, F
VICETY, From Vice a fault
VICINAGE, OF
VICINAL, L
VICINE, L
VICINITY, L
VICIOUS, OF
VICISSITUDE, L
VICONTIEL, From OE
VICONTIELS, See Vicontiel
VICTIM, L
VICTIMATE, L
VICTOR, L
VICTORIA, NL
VICTORIOUS, L
VICTORY, OE
VICTRESS, Cf
VICTRIX, L
VICTUALER, F
VICTUALS, OE
VICTUS, L
VICUNA; VICUNYA; VICUGNA, Sp
VIDAME, F
VIDELICET, L
VIDONIA, Cf
VIDUAGE, See Vidual
VIDUAL, L
VIDUITY, L
VIE, OE
VIELLE, F
VIEW, OF
VIGESIMAL, L
VIGESIMO-QUARTO, L
VIGIL, OE
VIGILANCE, L
VIGILANT, L
VIGILY, L
VIGINTIVIRATE, L
VIGNETTE, F
VIGONIA, Cf
VIGOR, OE
VIGORITE, L
VIGOROSO, It
VIGOROUS, Cf
VIKING, Icel
VILAYET, Turk
VILD, As if the p
VILE, OE
VILED, See Vild
VILEYNS, See Villain
Vil"i*fy, v. t. [imp. & p. p. Vilified; p. pr. & vb. n. Vilifying.], L
VILIPEND, L
VILITY, L
VILL, OF
VILLA, L
VILLAGE, F
VILLAIN, OE
VILLAIN, F
VILLAINOUS, Written also villanous
VILLAINY, OE
VILLANAGE, OF
VILLANEL, See Villanelle
VILLANELLA, It
VILLANELLE, F
VILLANETTE, Dim
VILLATIC, L
VILLENAGE, See Villanage
VILLIFORM, Villus + -form
VILLOUS, L
VILLUS, L
VIM, L
VIMEN, L
VIMINAL, L
VIMINEOUS, L
VINACEOUS, L
VINAIGRETTE, F
VINAIGROUS, F
VINASSE, F
VINATICO, Pg
VINCIBLE, L
VINCTURE, L
VINCULUM, L
VINDEMIAL, L
VINDEMIATE, L
VINDEMIATION, LL
Vin"di*cate, v. t. [imp. & p. p. Vindicated; p. pr. & vb. n., L
VINDICATION, L
VINDICATIVE, Cf
VINDICATOR, LL
VINDICTIVE, For vindicative, confused with L
VINE, F
VINEAL, L
VINEGAR, OE
VINETTE, Cf
VINEYARD, For OE
VINGT ET UN, F
VINICULTURE, L
VINNEWED, See Fenowed
VINOLENCY, L
VINOLENT, L
VINOMETER, L
VIN ORDINAIRE, F
VINOSITY, L
VINOUS, L
VINTAGE, Corrupted by influence of vintner, vintry,
VINTAGER, From Vintage: cf
VINTNER, OE
VINTRY, OE
VINYL, L
VIOL, F
VIOLA, L
VIOLA, It
Defn: An instrument in form and use resembling the violin, but, It
called the alto., It
now rarely used., It
the viola and the viola da gamba., It
VIOLABLE, L
VIOLACEOUS, L
VIOLANILINE, Violet + aniline
VIOLANTIN, See Violuric
Vi"o*late, v. t. [imp. & p. p. Violates; p. pr. & vb. n. Violating.], L
VIOLATION, L
VIOLATOR, L
VIOLENCE, F
VIOLENT, F
VIOLENT, Cf
VIOLESCENT, L
VIOLET, F
VIOLET, Cf
VIOLIN, It
VIOLINIST, Cf
VIOLIST, Cf
VIOLONCELLIST, Cf
VIOLONCELLO, It
VIOLONE, It
VIOLURIC, Violet + barbituric
VIPER, F
VIPERINE, L
VIPEROIDEA; VIPEROIDES, NL
VIRAGO, L
VIRE, OF
VIRELAY, F
VIRENT, L
VIREO, L
VIRESCENT, L
VIRETON, F
VIRGALIEU, Cf
VIRGATE, L
VIRGATE, LL
VIRGATED, L
VIRGILIAN, L
VIRGIN, L
VIRGINAL, L
VIRGINAL, Cf
VIRGINITY, OE
VIRGO, L
VIRGOULEUSE, F
VIRGULARIAN, From
VIRGULE, F
VIRIAL, L
VIRID, L
VIRIDESCENT, L
VIRIDINE, L
VIRIDITE, L
VIRIDITY, L
VIRILE, L
VIRILITY, L
VIRIPOTENT, L
VIROLE, F
VIROSE, L
VIRTU, It
VIRTUAL, Cf
VIRTUALITY, Cf
VIRTUE, OE
VIRTUOSO, It
VIRTUOUS, OE
VIRULENCE; VIRULENCY, Cf
VIRULENT, L
VIRUS, L
done., L
body, or changing the direction of its motion; impressed force., L
while the latter implies merely the property by which it is given., L
work, but only producing pressure., L
-- Vis vitæ, or Vis vitalis Etym: [L.] (Physiol.), vital force., L
VISA, F
VISAGE, F
VIS-A-VIS, F
VISCACHA; VIZ-CACHA, Sp
VISCERAL, Cf
VISCID, L
VISCIDITY, Cf
VISCOSIMETER, Viscosity + -meter
VISCOSITY, Cf
VISCOUNT, OE
VISCOUNTESS, F
VISCOUNTSHIP; VISCOUNTY, F
VISCOUS, L
VISCUM, L
VISCUS, L
VISE, F
VISE, F
VISHNU, Skr
VISIBILITY, L
VISIBLE, L
VISIGOTH, L
VISION, OE
VISIONARY, Cf
VISIT, 
VISIT, Cf
VISITANT, L
VISITATION, L
VISITATORIAL, Cf
VISITE, F
VISITOR, Cf
VISIVE, Cf
VISNE, OF
VISNOMY, Contr
VISON, F
VISOR, OE
VISTA, It
VISUAL, L
VITAILLE, See Victuals
VITAL, F
VITALITY, L
Vi"tal*ize, v. t. [imp. & p. p. Vitalized; p. pr. & vb. n., Cf
VITELLARY, L
VITELLIN, See Vitellus
VITELLINE, L
VITELLOGENE, See Vitellus, and -gen
VITELLUS, L
Vi"ti*ate, v. t. [imp. & p. p. Vitiated; p. pr. & vb. n. Vitiating.], L
VITIATION, L
VITICULOSE, L
VITICULTURE, L
VITILIGO, L
VITILITIGATE, L
VITIOSITY, L
VITIS, L
VITRELLA, NL
VITREO-ELECTIC, See Vitreous, and Electric
VITREOUS, L
VITRESCENT, See Vitreous
VITRESCIBLE, Cf
VITRIC, L
VITRIFACTION, Cf
VITRIFACTURE, L
VITRIFIABLE, Cf
VITRIFICATION, See Vitrify
VITRIFORM, L
Vit"ri*fy, v. t. [imp. & p. p. Vitrified; p. pr. & vb. n., F
VITRINA, NL
VITRIOL, F
VITRIOLIC, Cf
VITRIOLIZATION, Cf
